classifier;vectorizer;max_features;max_ngrams;avg;std
KNeighborsClassifier;CountVectorizer;2000;1;88.242;0.455
KNeighborsClassifier;CountVectorizer;50;1;86.336;0.526
GaussianNB;TfidfVectorizer;1000;1;93.861;0.387
KNeighborsClassifier;TfidfVectorizer;200;1;87.173;0.852
GaussianNB;CountVectorizer;1000;2;88.067;3.002
KNeighborsClassifier;CountVectorizer;100;1;87.821;0.622
GaussianNB;TfidfVectorizer;500;3;89.275;0.816
KNeighborsClassifier;CountVectorizer;500;3;88.727;0.594
KNeighborsClassifier;CountVectorizer;1000;2;88.994;0.652
GaussianNB;TfidfVectorizer;1000;2;93.751;0.245
GaussianNB;CountVectorizer;200;2;59.994;10.503
GaussianNB;TfidfVectorizer;500;2;91.044;0.551
KNeighborsClassifier;CountVectorizer;1000;1;88.954;0.573
GaussianNB;CountVectorizer;2000;3;89.607;2.473
GaussianNB;CountVectorizer;500;3;80.588;3.594
GaussianNB;TfidfVectorizer;500;1;92.756;0.512
GaussianNB;CountVectorizer;100;2;40.798;11.364
GaussianNB;CountVectorizer;1000;1;87.085;3.802
GaussianNB;TfidfVectorizer;200;3;86.880;0.921
KNeighborsClassifier;TfidfVectorizer;100;1;89.382;0.809
KNeighborsClassifier;CountVectorizer;500;1;89.448;0.513
GaussianNB;TfidfVectorizer;200;2;86.379;0.985
KNeighborsClassifier;TfidfVectorizer;100;3;89.735;0.775
KNeighborsClassifier;CountVectorizer;200;3;88.204;0.465
KNeighborsClassifier;TfidfVectorizer;2000;2;69.155;0.401
GaussianNB;TfidfVectorizer;200;1;89.641;1.110
GaussianNB;CountVectorizer;500;2;80.273;4.648
GaussianNB;CountVectorizer;50;2;31.802;10.435
KNeighborsClassifier;TfidfVectorizer;50;3;87.109;0.730
KNeighborsClassifier;CountVectorizer;200;2;88.271;0.470
GaussianNB;CountVectorizer;200;1;62.726;10.768
GaussianNB;CountVectorizer;500;1;82.499;4.547
GaussianNB;TfidfVectorizer;100;3;84.608;1.253
KNeighborsClassifier;TfidfVectorizer;50;2;87.407;0.825
KNeighborsClassifier;CountVectorizer;200;1;88.563;0.399
GaussianNB;CountVectorizer;1000;3;82.354;3.353
GaussianNB;TfidfVectorizer;100;2;85.600;0.500
KNeighborsClassifier;TfidfVectorizer;50;1;87.720;0.677
KNeighborsClassifier;CountVectorizer;1000;3;88.924;0.654
KNeighborsClassifier;TfidfVectorizer;1000;2;75.069;0.818
GaussianNB;TfidfVectorizer;100;1;86.078;0.552
GaussianNB;TfidfVectorizer;2000;3;94.633;0.309
KNeighborsClassifier;CountVectorizer;100;3;87.539;0.499
GaussianNB;CountVectorizer;50;3;27.393;9.714
GaussianNB;TfidfVectorizer;50;3;75.390;2.824
GaussianNB;CountVectorizer;2000;2;90.447;2.187
GaussianNB;TfidfVectorizer;2000;2;94.669;0.383
GaussianNB;CountVectorizer;50;1;33.379;13.861
KNeighborsClassifier;CountVectorizer;500;2;88.776;0.631
GaussianNB;CountVectorizer;200;3;55.112;10.063
GaussianNB;CountVectorizer;100;1;44.173;10.107
GaussianNB;TfidfVectorizer;50;2;79.927;1.283
KNeighborsClassifier;CountVectorizer;100;2;87.506;0.524
KNeighborsClassifier;TfidfVectorizer;100;2;89.711;0.797
KNeighborsClassifier;TfidfVectorizer;500;2;82.857;0.740
GaussianNB;CountVectorizer;100;3;38.440;14.359
GaussianNB;TfidfVectorizer;50;1;80.622;1.268
GaussianNB;TfidfVectorizer;2000;1;93.694;0.636
KNeighborsClassifier;CountVectorizer;50;3;85.123;0.474
GaussianNB;CountVectorizer;2000;1;89.239;1.844
KNeighborsClassifier;TfidfVectorizer;500;1;79.827;0.881
KNeighborsClassifier;CountVectorizer;2000;3;88.387;0.707
GaussianNB;TfidfVectorizer;1000;3;90.705;0.760
KNeighborsClassifier;CountVectorizer;50;2;85.636;0.433
KNeighborsClassifier;CountVectorizer;2000;2;88.484;0.670
KNeighborsClassifier;TfidfVectorizer;1000;3;77.202;0.742
KNeighborsClassifier;TfidfVectorizer;200;3;86.863;0.811
KNeighborsClassifier;TfidfVectorizer;500;3;83.205;0.800
KNeighborsClassifier;TfidfVectorizer;200;2;86.851;0.836
KNeighborsClassifier;TfidfVectorizer;2000;1;64.980;0.198
KNeighborsClassifier;TfidfVectorizer;1000;1;72.240;0.661
KNeighborsClassifier;TfidfVectorizer;2000;3;70.726;0.519
